Source PDF,Manifest Number,Start Page,End Page,Origin Dairy Name,Origin Dairy Address,Origin Dairy Latitude (Geocoded),Origin Dairy Longitude (Geocoded),Destination Address Final,Destination Address Final Source,Destination Type (Standardized),Destination Latitude (Geocoded),Destination Longitude (Geocoded),First Haul Date,Last Haul Date,Is Pipeline,Wastewater Volume per Haul (Gallons),Wastewater Number of Hauls,Wastewater Hours Pumped (Hours),Wastewater Pumping Rate (GPM),Total Process Wastewater Exports (Gallons),"Number of <8,000 gal Hauls for Analysis","Number of >=8,000 gal Hauls for Analysis"
2024AR_Diamond D LLC Dairy_9423 Idaho Ave_Kings,3,70,71,Diamond D Dairy,9423 Idaho Ave Hanford 93230,36.269168693698,-119.626552462404,"016-270-010, 016-270-033",Destination Assessor Parcel Number,Blank,39.672295,-120.242033,2024-01-01,2024-12-31,False,,,,,7000000.0,1077,485
2024AR_Diamond D LLC Dairy_9423 Idaho Ave_Kings,4,72,73,Diamond D Dairy,9423 Idaho Ave Hanford 93230,36.269168693698,-119.626552462404,"028-090-001, 028-090-022",Destination Assessor Parcel Number,Blank,39.364051,-121.403652,2024-01-01,2024-12-31,False,,,,,16000000.0,2461,1108
2024AR_Dover Dairy_4265 Dover Ave_Kings,1,137,138,Dover Dairy,4265 Dover AVE Hanford Kings 93230,,,,,Farmer,,,2024-10-16,2024-10-29,False,,,,,2216000.0,341,153
2024AR_Flatland Farms LLC_8483 15th Ave_Kings,2,51,52,Flatland Farms LLC,8431 15th Ave Hanford 93230,36.350695065386,-119.726593410469,15Th & Fargo Hanford 93230,Destination Address,Farmer,36.357206002044,-119.726874036587,2024-01-01,2024-12-31,False,,,,,505000.0,78,35
2024AR_Flatland Farms LLC_8483 15th Ave_Kings,3,53,54,Flatland Farms LLC,8431 15th Ave Hanford 93230,36.350695065386,-119.726593410469,005-080-007,Destination Assessor Parcel Number,Farmer,,,2024-01-01,2024-12-31,False,,,,,525000.0,81,36
2024AR_Flint Dairy_6511 Flint Ave_Kings,13,174,175,Flint Dairy,6511 Flint Ave. Hanford Kings 93230,36.369763853201,-119.575398880791,7442 7Th Ave Hanford 93230 Kings,Destination Address,Farmer,36.360022531059,-119.590966841015,,2024-01-01,False,,,,,1629000.0,251,113
2024AR_Flint Dairy_6511 Flint Ave_Kings,14,176,177,Flint Dairy,6511 Flint Ave. Hanford Kings 93230,36.369763853201,-119.575398880791,7442 7Th Ave Hanford 93230 Kings,Destination Address,Farmer,36.360022531059,-119.590966841015,,2024-03-25,False,,,,,981000.0,151,68
2024AR_Flint Dairy_6511 Flint Ave_Kings,15,178,179,Flint Dairy,6511 Flint Ave. Hanford Kings 93230,36.369763853201,-119.575398880791,7442 7Th Ave Hanford 93230 Kings,Destination Address,Farmer,36.360022531059,-119.590966841015,,2024-06-27,False,,,,,2481000.0,382,172
2024AR_Flint Dairy_6511 Flint Ave_Kings,16,180,181,Flint Dairy,6511 Flint Ave. Hanford Kings 93230,36.369763853201,-119.575398880791,7442 7Th Ave Hanford 93230 Kings,Destination Address,Farmer,36.360022531059,-119.590966841015,,2024-08-02,False,,,,,2172000.0,334,150
337 N Gates Rd MOdesto 2024 Dairy AR,1,33,34,Jelle Van Der Hoek,337 Gates Rd Modesto Stanislaus 95358,37.642746790146,-121.159845460746,x012-x025-x013-xxxx,Destination Assessor Parcel Number,Farmer,,,,2024-08-25,True,,,71.0,1000.0,4260000.0,655,295
337 N Gates Rd MOdesto 2024 Dairy AR,3,38,39,Jelle Van Der Hoek,337 Gates Rd Modesto Stanislaus 95358,37.642746790146,-121.159845460746,x012-x025-x013-xxxx,Destination Assessor Parcel Number,Farmer,,,,2024-06-02,True,,,76.0,1000.0,4560000.0,701,316
348 E Monte Vista Rd Ceres 2024 Dairy AR,1,107,108,S & S Dairy Inc.,384 E. Monte Vista Ave. Ceres Ca. 95307,37.5217215,-120.9895892,730 W. Monte Vista Ave Ceres 95307,Destination Address,Farmer,37.521650543214,-121.003358262127,,2024-05-08,False,,,,,924000.0,142,64
348 E Monte Vista Rd Ceres 2024 Dairy AR,2,109,110,S & S Dairy Inc.,384 E. Monte Vista Ave. Ceres Ca. 95307,37.5217215,-120.9895892,730 W. Monte Vista Ave Ceres 95307,Destination Address,Farmer,37.521650543214,-121.003358262127,2024-07-04,2024-09-23,False,,,,,2797200.0,430,194
348 E Monte Vista Rd Ceres 2024 Dairy AR,3,111,112,S & S Dairy Inc.,384 E. Monte Vista Ave. Ceres Ca. 95307,37.5217215,-120.9895892,730 W. Monte Vista Ave Ceres 95307,Destination Address,Farmer,37.521650543214,-121.003358262127,2024-10-08,2024-10-13,False,,,,,1428000.0,220,99
"501 S Story Rd, Turlock 2024 Dairy AR",1,28,29,MHF Dairy,501 S. Story Rd. Turlock 95380,37.488024610788,-120.789904212947,024-045-027,Destination Assessor Parcel Number,Farmer,,,,2024-03-24,True,,,,,535000.0,82,37
"501 S Story Rd, Turlock 2024 Dairy AR",2,30,31,MHF Dairy,501 S. Story Rd. Turlock 95380,37.488024610788,-120.789904212947,024-045-027,Destination Assessor Parcel Number,Farmer,,,,2024-04-12,True,,,,,812000.0,125,56
"501 S Story Rd, Turlock 2024 Dairy AR",3,32,33,MHF Dairy,501 S. Story Rd. Turlock 95380,37.488024610788,-120.789904212947,024-045-026,Destination Assessor Parcel Number,Farmer,38.245027,-120.326183,,2024-04-24,True,,,,,585000.0,90,41
"501 S Story Rd, Turlock 2024 Dairy AR",4,34,35,MHF Dairy,501 S. Story Rd. Turlock 95380,37.488024610788,-120.789904212947,024-009-033,Destination Assessor Parcel Number,Farmer,36.0604868,-119.2388644,,2024-04-25,True,,,,,520000.0,80,36
"501 S Story Rd, Turlock 2024 Dairy AR",5,36,37,MHF Dairy,501 S. Story Rd. Turlock 95380,37.488024610788,-120.789904212947,024-045-027,Destination Assessor Parcel Number,Farmer,,,,2024-07-25,True,,,,,690000.0,106,48
"501 S Story Rd, Turlock 2024 Dairy AR",6,38,39,MHF Dairy,501 S. Story Rd. Turlock 95380,37.488024610788,-120.789904212947,024-045-027,Destination Assessor Parcel Number,Farmer,,,,2024-08-20,True,,,,,575000.0,88,40
"501 S Story Rd, Turlock 2024 Dairy AR",7,40,41,MHF Dairy,501 S. Story Rd. Turlock 95380,37.488024610788,-120.789904212947,024-045-026,Destination Assessor Parcel Number,Farmer,38.245027,-120.326183,,2024-10-09,True,,,,,330550.0,51,23
"501 S Story Rd, Turlock 2024 Dairy AR",8,42,43,MHF Dairy,501 S. Story Rd. Turlock 95380,37.488024610788,-120.789904212947,024-009-033,Destination Assessor Parcel Number,Farmer,35.550014,-121.080001,,2024-10-10,True,,,,,300000.0,46,21
"501 S Story Rd, Turlock 2024 Dairy AR",9,44,45,MHF Dairy,501 S. Story Rd. Turlock 95380,37.488024610788,-120.789904212947,024-045-027,Destination Assessor Parcel Number,Farmer,,,,2024-10-27,True,,,,,860000.0,132,60
505 E Washington Rd El Nido 2024 Dairy AR,6,387,388,Double Diamond Dairy,505 E Washington Rd El Nido Merced 95317,37.111988671642,-120.483451355474,2025 Washington Rd El Nido 95317 Merced,Destination Address,Farmer,37.113114606142,-120.537649311777,,2024-08-20,False,,,,,10000000.0,1538,692
505 E Washington Rd El Nido 2024 Dairy AR,7,389,390,Double Diamond Dairy,505 E Washington Rd El Nido Merced 95317,37.111988671642,-120.483451355474,2025 Washington Rd El Nido 95317 Merced,Destination Address,Farmer,37.113114606142,-120.537649311777,,2024-08-20,False,,,,,10000000.0,1538,692
