Latitude,Longitude,Operator/Agency,Facility Name,Facility Address,County,Reg Measure,WDID,Place ID,Amount,Units [Tons] [Cu Yd],Hauled To,Amount,Units [Tons] [Cu Yd],Dates,Dates
33.99811,-117.64295,Sam Sousa,OK Cattle LLC,7330 Edison Avenue,San Bernardino,211751,8 365766001,255143,0,Ton,San Bernardino County,165,Ton,10/7/23,10/21/23
34.00305556,-117.6130556,Rudolph Haringa,Ontario Ranch Holsteins #1 - 8535 Edison,8535  Edison Avenue ,San Bernardino,454366,8 366052001,259280,"4,896.40",Cu Yd,Composting Facility,"2,196.40",Cubic Yards,8/18/23,12/21/23
34.004911,-117.615572,Rudolph Haringa,Ontario Ranch Holsteins #1 - 8535 Edison,8535  Edison Avenue ,San Bernardino,454366,8 366052001,259280,"4,896.40",Cu Yd,Composting Facility (Assumed Lat. & Long),"2,700.00",Cubic Yards,8/16/23,
34.78944444,-118.4586111,Rudolph Haringa,Ontario Ranch Holsteins #2,14333 Walker Avenue,San Bernardino,454368,8 366053001,239249,"3,534.00",Cu Yd,Los Angeles County,525,Ton,10/15/23,12/15/23
34.00305556,-117.6130556,Rudolph Haringa,Ontario Ranch Holsteins #2,14333 Walker Avenue,San Bernardino,454368,8 366053001,239249,"3,534.00",Cu Yd,Composting Facility,"2,316.40",Cubic Yards,8/18/23,12/21/23
33.70083333,-117.0666667,Arthur Oostdam,Oostdam Dairy,1710 North Warren Road,Riverside,327110,8 335684001,630617,"6,850.00",Ton,Riverside County,"3,450.00",Ton,3/23/23,5/5/23
33.83888889,-117.1,Arthur Oostdam,Oostdam Dairy,1710 North Warren Road,Riverside,327110,8 335684001,630617,"6,850.00",Ton,Riverside County,"3,400.00",Ton,8/15/23,12/30/23
33.83888889,-117.1,Art Oostdam,Oostdam Dairy Heifer Ranch,1655 North Ramona Boulevard,Riverside,403776,8 335709001,233909,349,Ton,Riverside County,349,Ton,8/3/23,11/30/23
33.939915,-117.616455,Peter Bouma,P & D Dairy #3,13905 Bon View Avenue,San Bernardino,385660,8 365994001,219199,"4,446.00",Ton,Composting Facility,640,Ton,4/26/23,5/10/23
34.019781,-118.067195,Peter Bouma,P & D Dairy #4,13906 Bon View Avenue,San Bernardino,385661,9 365994001,219199,"4,446.00",Ton,Composting Facility,200,Ton,4/26/23,5/10/23
34.003915,-117.616015,Peter Bouma,P & D Dairy #5,13907 Bon View Avenue,San Bernardino,385662,10 365994001,219199,"4,446.00",Ton,Composting Facility,"1,586.00",Ton,4/26/23,5/10/23
33.939915,-117.616455,Peter Bouma,P & D Dairy #6,13908 Bon View Avenue,San Bernardino,385663,11 365994001,219199,"4,446.00",Ton,Composting Facility,480,Ton,9/6/23,9/8/23
33.939915,-117.616455,Peter Bouma,P & D Dairy #7,13909 Bon View Avenue,San Bernardino,385664,12 365994001,219199,"4,446.00",Ton,Composting Facility,75,Ton,11/9/23,11/13/23
34.003915,-117.616015,Peter Bouma,P & D Dairy #8,13910 Bon View Avenue,San Bernardino,385665,13 365994001,219199,"4,446.00",Ton,Composting Facility,770,Ton,11/9/23,11/13/23
33.939915,-117.616455,Peter Bouma,P & D Dairy #9,13911 Bon View Avenue,San Bernardino,385666,14 365994001,219199,"4,446.00",Ton,Composting Facility,625,Ton,12/18/23,12/20/23
33.939915,-117.616455,Peter Bouma,P & D Dairy #10,13912 Bon View Avenue,San Bernardino,385667,15 365994001,219199,"4,446.00",Ton,Composting Facility,20,Ton,12/20/23,12/21/23
33.85095,-117.6731,John Bidart,Pastime Lakes Dairy,34240 Ramona Expressway,Riverside,395145,8 335706001,247758,"16,665.00",Ton,Riverside County,"5,415.00",Ton,7/10/23,7/14/23
33.84802,-117.091,John Bidart,Pastime Lakes Dairy,34241 Ramona Expressway,Riverside,395146,9 335706001,247758,"16,665.00",Ton,Riverside County,"5,055.00",Ton,7/18/23,7/24/23
