region,template,parameter_name,page_number,min_page,x0,y0,x1,y1,find_by,page_search_text,row_search_text,separator,item_order,data_type
5,innovative_ag,Applied to Removed Ratio K,-1,6,NA,NA,NA,NA,text,SUMMARY OF NUTRIENT APPLICATIONS,Applied to removed ratio,space,2,numeric
5,innovative_ag,Applied to Removed Ratio Salt,-1,6,NA,NA,NA,NA,text,SUMMARY OF NUTRIENT APPLICATIONS,Applied to removed ratio,space,3,numeric
2,tier_2,Dairy Name,-1,1,NA,NA,NA,NA,text,Facility Name:,,space,0,text
2,tier_2,Dairy Address,-1,1,NA,NA,NA,NA,text,Facility Address:,,space,0,text
2,tier_2,Maximum Milk Cows,-1,1,NA,NA,NA,NA,text,Current # of mature dairy cows (milking + dry):,,space,0,numeric
2,tier_2,Maximum Dry Cows,-1,1,NA,NA,NA,NA,text,Current # and type of other animals:,Dry Cows,space,0,numeric
2,tier_2,Maximum Bred Heifers,-1,1,NA,NA,NA,NA,text,Current # and type of other animals:,Bred Heifers,space,0,numeric
2,tier_2,Maximum Heifers,-1,1,NA,NA,NA,NA,text,Current # and type of other animals:,Heifers,space,0,numeric
2,tier_2,Maximum Calves (4-6 mo.),-1,1,NA,NA,NA,NA,text,Current # and type of other animals:,Calves (4-6 mo.),space,0,numeric
2,tier_2,Maximum Calves (0-3 mo.),-1,1,NA,NA,NA,NA,text,Current # and type of other animals:,Calves (0-3 mo.),space,0,numeric
2,tier_2,Average Milk Cows,-1,1,NA,NA,NA,NA,text,Current # of mature dairy cows (milking + dry):,,space,0,numeric
2,tier_2,Average Dry Cows,-1,1,NA,NA,NA,NA,text,Current # and type of other animals:,Dry Cows,space,0,numeric
2,tier_2,Average Bred Heifers,-1,1,NA,NA,NA,NA,text,Current # and type of other animals:,Bred Heifers,space,0,numeric
2,tier_2,Average Heifers,-1,1,NA,NA,NA,NA,text,Current # and type of other animals:,Heifers,space,0,numeric
2,tier_2,Average Calves (4-6 mo.),-1,1,NA,NA,NA,NA,text,Current # and type of other animals:,Calves (4-6 mo.),space,0,numeric
2,tier_2,Average Calves (0-3 mo.),-1,1,NA,NA,NA,NA,text,Current # and type of other animals:,Calves (0-3 mo.),space,0,numeric
2,tier_2,Total Manure Excreted (tons),-1,1,NA,NA,NA,NA,text,Total Manure Excreted:,,space,0,numeric
2,tier_2,Average Milk Production (lb per cow per day),-1,1,NA,NA,NA,NA,text,Average Milk Production:,,space,0,numeric
2,tier_2,Total Dry Manure Generated N After Ammonia Losses (lbs),-1,1,NA,NA,NA,NA,text,Total Dry Manure Generated N After Ammonia Losses:,,space,0,numeric
2,tier_2,Total Dry Manure Generated N (lbs),-1,1,NA,NA,NA,NA,text,Total Dry Manure Generated N:,,space,0,numeric
