region,template,parameter_key,page_search_text,search_direction,row_search_text,column_search_text,item_order,ignore_before,ignore_after,value_pattern
5,livingston,total_exports_k_lbs,ESTIMATED TOTAL MANURE TRANSFERRED OFFSITE,below,Total Potassium,NA,1,NA,NA,\d+\.?\d*
5,livingston,total_exports_salt_lbs,ESTIMATED TOTAL MANURE TRANSFERRED OFFSITE,below,Total Salt,NA,1,NA,NA,\d+\.?\d*
5,livingston,applied_n_dry_manure_lbs,Summary of Nutrient Applications,right,Solid Manure,NA,0,NA,NA,\d+\.?\d*
5,livingston,applied_p_dry_manure_lbs,Summary of Nutrient Applications,right,Solid Manure,NA,1,NA,NA,\d+\.?\d*
5,livingston,applied_k_dry_manure_lbs,Summary of Nutrient Applications,right,Solid Manure,NA,2,NA,NA,\d+\.?\d*
5,livingston,applied_salt_dry_manure_lbs,Summary of Nutrient Applications,right,Solid Manure,NA,3,NA,NA,\d+\.?\d*
5,livingston,applied_process_wastewater_n_lbs,Summary of Nutrient Applications,right,Process wastewater,NA,0,NA,NA,\d+\.?\d*
5,livingston,applied_process_wastewater_p_lbs,Summary of Nutrient Applications,right,Process wastewater,NA,1,NA,NA,\d+\.?\d*
5,livingston,applied_process_wastewater_k_lbs,Summary of Nutrient Applications,right,Process wastewater,NA,2,NA,NA,\d+\.?\d*
5,livingston,applied_process_wastewater_salt_lbs,Summary of Nutrient Applications,right,Process wastewater,NA,3,NA,NA,\d+\.?\d*
5,livingston,applied_to_removed_ratio_n,Summary of Nutrient Applications,right,Applied to removed ratio,NA,0,NA,NA,\d+\.?\d*
5,livingston,applied_to_removed_ratio_p,Summary of Nutrient Applications,right,Applied to removed ratio,NA,1,NA,NA,\d+\.?\d*
5,livingston,applied_to_removed_ratio_k,Summary of Nutrient Applications,right,Applied to removed ratio,NA,2,NA,NA,\d+\.?\d*
5,livingston,applied_to_removed_ratio_salt,Summary of Nutrient Applications,right,Applied to removed ratio,NA,3,NA,NA,\d+\.?\d*
2,generic_r2,dairy_name,NA,right,Facility Name:,NA,0,NA,Facility Address,NA
2,generic_r2,dairy_address,NA,right,Facility Address,NA,0,NA,NA,NA
2,generic_r2,max_milk_cows,Facility Name,right,Current # of mature dairy cows (milking + dry):,NA,0,NA,NA,\d+
2,generic_r2,max_dry_cows,Facility Name,right,Current # and type of other animals:,NA,0,NA,NA,\d+
2,generic_r2,max_bred_heifers,Facility Name,right,Current # and type of other animals:,NA,0,NA,NA,\d+
2,generic_r2,max_heifers,Facility Name,right,Current # and type of other animals:,NA,0,NA,NA,\d+
2,generic_r2,max_calves_4_6_mo,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,max_calves_0_3_mo,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,avg_milk_cows,Facility Name,right,dry):,NA,0,NA,NA,\d+
2,generic_r2,avg_dry_cows,Facility Name,right,Current # and type of other animals:,NA,0,NA,NA,\d+
2,generic_r2,avg_bred_heifers,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,avg_heifers,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,avg_calves_4_6_mo,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,avg_calves_0_3_mo,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,avg_other,NA,NA,NA,NA,NA,NA,NA,NA
2,generic_r2,total_manure_excreted_tons,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,avg_milk_production_lb_per_cow_per_day,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,total_dry_manure_gen_n_after_ammonia_losses_lbs,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,total_dry_manure_gen_n_lbs,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,total_dry_manure_gen_p_lbs,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,total_dry_manure_gen_k_lbs,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,total_dry_manure_gen_salt_lbs,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,total_process_wastewater_gen_gals,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,total_process_wastewater_gen_n_lbs,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,total_process_wastewater_gen_p_lbs,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,total_process_wastewater_gen_k_lbs,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,total_process_wastewater_gen_salt_lbs,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,total_exports_n_lbs,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,total_exports_p_lbs,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,total_exports_k_lbs,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,total_exports_salt_lbs,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,applied_n_dry_manure_lbs,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,applied_p_dry_manure_lbs,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,applied_k_dry_manure_lbs,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,applied_salt_dry_manure_lbs,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,applied_process_wastewater_n_lbs,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,applied_process_wastewater_p_lbs,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,applied_process_wastewater_k_lbs,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,applied_process_wastewater_salt_lbs,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,applied_to_removed_ratio_n,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,applied_to_removed_ratio_p,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,applied_to_removed_ratio_k,NA,NA,NA,NA,0,NA,NA,NA
2,generic_r2,applied_to_removed_ratio_salt,NA,NA,NA,NA,0,NA,NA,NA
7,generic_r7,dairy_name,NA,right,Facility Name:,NA,NA,NA,NA,NA
7,generic_r7,dairy_address,NA,right,Facility Address:,NA,NA,NA,NA,NA
7,generic_r7,max_milk_cows,NA,right,Mature Dairy Cows,NA,0,NA,NA,\d+
7,generic_r7,max_dry_cows,NA,right,Other Cattle,NA,0,NA,NA,\d+
7,generic_r7,max_bred_heifers,NA,right,NA,NA,0,NA,NA,NA
7,generic_r7,max_heifers,NA,right,Dairy Heifers,NA,0,NA,NA,\d+
7,generic_r7,max_calves_4_6_mo,NA,right,Veal Calves,NA,0,NA,NA,\d+
7,generic_r7,max_calves_0_3_mo,NA,NA,NA,NA,NA,NA,NA,NA
7,generic_r7,avg_milk_cows,Estimated Manure and Nutrients Generated,right,Milk Cows,NA,1,NA,NA,\d+
7,generic_r7,avg_dry_cows,Estimated Manure and Nutrients Generated,right,Dry Cows,NA,1,NA,NA,\d+
7,generic_r7,avg_bred_heifers,Estimated Manure and Nutrients Generated,right,Bred Heifers,NA,1,NA,NA,\d+
7,generic_r7,avg_heifers,Estimated Manure and Nutrients Generated,right,Heifers,NA,1,NA,NA,\d+
7,generic_r7,avg_calves_4_6_mo,Estimated Manure and Nutrients Generated,right,Veal Calves,NA,1,NA,NA,\d+
7,generic_r7,avg_calves_0_3_mo,Estimated Manure and Nutrients Generated,right,NA,NA,1,NA,NA,NA
7,generic_r7,avg_other,NA,NA,NA,NA,NA,NA,NA,NA
7,generic_r7,total_manure_excreted_tons,"Manure, Litter, And Process",right,manure gen during the reporting period:,NA,NA,NA,NA,\d+\.?\d*
7,generic_r7,avg_milk_production_lb_per_cow_per_day,Estimated Manure and Nutrients Generated,below,Milk Production,NA,-1,NA,NA,\d+\.?\d*
7,generic_r7,total_dry_manure_gen_n_after_ammonia_losses_lbs,Estimated Manure and Nutrients Generated,below,Total N After Ammonia Losses,NA,-1,NA,NA,\d+\.?\d*
7,generic_r7,total_dry_manure_gen_n_lbs,Estimated Manure and Nutrients Generated,below,NITROGEN,NA,-1,NA,NA,\d+\.?\d*
7,generic_r7,total_dry_manure_gen_p_lbs,Estimated Manure and Nutrients Generated,below,PHOSPHORUS,NA,-1,NA,NA,\d+\.?\d*
7,generic_r7,total_dry_manure_gen_k_lbs,Estimated Manure and Nutrients Generated,below,POTASSIUM,NA,-1,NA,NA,\d+\.?\d*
7,generic_r7,total_dry_manure_gen_salt_lbs,Estimated Manure and Nutrients Generated,right,SALTS,NA,-1,NA,NA,\d+\.?\d*
7,generic_r7,total_process_wastewater_gen_gals,5,coordinates,NA,NA,NA,NA,NA,\d+\.?\d*
7,generic_r7,total_process_wastewater_gen_n_lbs,5,coordinates,NA,NA,NA,NA,NA,\d+\.?\d*
7,generic_r7,total_process_wastewater_gen_p_lbs,5,coordinates,NA,NA,NA,NA,NA,\d+\.?\d*
7,generic_r7,total_process_wastewater_gen_k_lbs,5,coordinates,NA,NA,NA,NA,NA,\d+\.?\d*
7,generic_r7,total_process_wastewater_gen_salt_lbs,5,coordinates,NA,NA,NA,NA,NA,\d+\.?\d*
7,generic_r7,total_exports_n_lbs,0,right,NA,NA,NA,NA,NA,NA
7,generic_r7,total_exports_p_lbs,0,right,NA,NA,NA,NA,NA,NA
7,generic_r7,total_exports_k_lbs,0,right,NA,NA,NA,NA,NA,NA
7,generic_r7,total_exports_salt_lbs,0,right,NA,NA,NA,NA,NA,NA
7,generic_r7,applied_n_dry_manure_lbs,LAND APPLICATION OF MANURE,right,Solid Manure,NA,0,NA,NA,\d+\.?\d*
7,generic_r7,applied_p_dry_manure_lbs,LAND APPLICATION OF MANURE,right,Solid Manure,NA,1,NA,NA,\d+\.?\d*
7,generic_r7,applied_k_dry_manure_lbs,LAND APPLICATION OF MANURE,right,Solid Manure,NA,2,NA,NA,\d+\.?\d*
7,generic_r7,applied_salt_dry_manure_lbs,LAND APPLICATION OF MANURE,right,Solid Manure,NA,3,NA,NA,\d+\.?\d*
7,generic_r7,applied_process_wastewater_n_lbs,LAND APPLICATION OF MANURE,right,Process wastewater,NA,0,NA,NA,\d+\.?\d*
7,generic_r7,applied_process_wastewater_p_lbs,LAND APPLICATION OF MANURE,right,Process wastewater,NA,1,NA,NA,\d+\.?\d*
7,generic_r7,applied_process_wastewater_k_lbs,LAND APPLICATION OF MANURE,right,Process wastewater,NA,2,NA,NA,\d+\.?\d*
7,generic_r7,applied_process_wastewater_salt_lbs,LAND APPLICATION OF MANURE,right,Process wastewater,NA,3,NA,NA,\d+\.?\d*
7,generic_r7,applied_to_removed_ratio_n,LAND APPLICATION OF MANURE,right,Applied to removed ratio,NA,0,NA,NA,\d+\.?\d*
7,generic_r7,applied_to_removed_ratio_p,LAND APPLICATION OF MANURE,right,Applied to removed ratio,NA,1,NA,NA,\d+\.?\d*
7,generic_r7,applied_to_removed_ratio_k,LAND APPLICATION OF MANURE,right,Applied to removed ratio,NA,2,NA,NA,\d+\.?\d*
7,generic_r7,applied_to_removed_ratio_salt,LAND APPLICATION OF MANURE,right,Applied to removed ratio,NA,3,NA,NA,\d+\.?\d*
