zip,lat,lng,city,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all
92239,33.87424,-115.24396,Desert Center,167,0.1,6065,Riverside,"{""06065"": 100}",Riverside,6065
92240,33.95291,-116.5194,Desert Hot Springs,40918,442.4,6065,Riverside,"{""06065"": 100}",Riverside,6065
92241,33.84634,-116.28342,Desert Hot Springs,8624,25.1,6065,Riverside,"{""06065"": 100}",Riverside,6065
92242,34.19019,-114.30755,Earp,1203,10.3,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92243,32.77285,-115.60065,El Centro,48556,165.5,6025,Imperial,"{""06025"": 100}",Imperial,6025
92249,32.72606,-115.48218,Heber,7308,142.1,6025,Imperial,"{""06025"": 100}",Imperial,6025
92250,32.79188,-115.23454,Holtville,7854,8.6,6025,Imperial,"{""06025"": 100}",Imperial,6025
92251,32.87129,-115.71804,Imperial,27197,42.5,6025,Imperial,"{""06025"": 100}",Imperial,6025
92252,34.14801,-116.28422,Joshua Tree,7916,27.2,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92253,33.65562,-116.28785,La Quinta,38281,365.5,6065,Riverside,"{""06065"": 100}",Riverside,6065
92254,33.54371,-115.99995,Mecca,10779,86.9,6065,Riverside,"{""06065"": 100}",Riverside,6065
92256,34.07207,-116.61761,Morongo Valley,3907,23.8,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92257,33.33976,-115.52814,Niland,2185,3.1,6025,Imperial,"{""06025"": 100}",Imperial,6025
92258,33.91791,-116.56002,North Palm Springs,508,18.9,6065,Riverside,"{""06065"": 100}",Riverside,6065
92259,32.73478,-115.94632,Ocotillo,237,0.3,6025,Imperial,"{""06025"": 100}",Imperial,6025
92260,33.69841,-116.40519,Palm Desert,30751,379,6065,Riverside,"{""06065"": 100}",Riverside,6065
92262,33.86287,-116.55736,Palm Springs,26064,286.6,6065,Riverside,"{""06065"": 100}",Riverside,6065
92264,33.73575,-116.50544,Palm Springs,20250,153.6,6065,Riverside,"{""06065"": 100}",Riverside,6065
92266,33.17507,-114.92594,Palo Verde,152,0,6025,Imperial,"{""06025"": 100}",Imperial,6025
92267,34.29765,-114.20138,Parker Dam,0,0,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92268,34.16146,-116.55002,Pioneertown,315,1.7,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92270,33.76399,-116.42705,Rancho Mirage,17375,261.8,6065,Riverside,"{""06065"": 100}",Riverside,6065
92273,32.80798,-115.69592,Seeley,1551,185.3,6025,Imperial,"{""06025"": 100}",Imperial,6025
92274,33.47031,-116.11387,Thermal,17909,32,6065,Riverside,"{""06065"": 66.12, ""06025"": 33.88}",Riverside|Imperial,06065|06025
92275,33.20783,-115.88084,Salton City,1410,13.4,6025,Imperial,"{""06025"": 100}",Imperial,6025
92276,33.83234,-116.38648,Thousand Palms,7662,79.9,6065,Riverside,"{""06065"": 100}",Riverside,6065
92277,34.11248,-115.68752,Twentynine Palms,27742,6.7,6071,San Bernardino,"{""06071"": 78.07, ""06065"": 21.93}",San Bernardino|Riverside,06071|06065
92278,34.23505,-116.05825,Twentynine Palms,3839,3776.5,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92280,34.13963,-114.84652,Vidal,0,0,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92281,33.05033,-115.61264,Westmorland,1904,55.7,6025,Imperial,"{""06025"": 100}",Imperial,6025
92282,33.96253,-116.65829,Whitewater,1494,7.6,6065,Riverside,"{""06065"": 100}",Riverside,6065
92283,32.83741,-114.79462,Winterhaven,1795,2.1,6025,Imperial,"{""06025"": 100}",Imperial,6025
92284,34.16013,-116.42474,Yucca Valley,25782,78.1,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92285,34.33762,-116.51364,Landers,2914,4.1,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92301,34.65183,-117.52617,Adelanto,38651,66.4,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92304,34.53062,-115.65933,Amboy,0,0,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92305,34.17018,-116.83231,Angelus Oaks,371,1.2,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92307,34.59078,-117.14127,Apple Valley,40666,83.8,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92308,34.42005,-117.15558,Apple Valley,42402,158.6,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92309,35.24942,-116.15578,Baker,490,0.5,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92310,35.33443,-116.76306,Fort Irwin,8791,41,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
